,word,detail,code
818,solderer,solder,11
819,solver,solve,11
820,sorter,sort,11
821,sower,sow,11
822,spacefarer,spacefaring,11
823,spacer,space,11
824,spawner,spawn,11
825,specifier,specify,11
826,speeder,speed,11
827,spellbinder,spellbind,11
828,spelunker,spelunking,11
829,spender,spend,11
830,spiller,spill,11
831,splicer,splice,11
832,spoofer,spoof,11
833,sportscaster,sportscast,11
834,spouter,spout,11
835,sprayer,spray,11
836,sprucer,spruce,11
837,squanderer,squander,11
838,squawker,squawk,11
839,squeezer,squeeze,11
840,squirter,squirt,11
841,stabber,stab,11
842,stacker,stack,11
843,stainer,stain,11
844,stammerer,stammer,11
845,stamper,stamp,11
846,stander,stand,11
847,starcher,starch,11
848,starer,stare,11
849,stealer,steal,11
850,steeplechaser,steeplechase,11
851,sterilizer,sterilize,11
852,stiffener,stiffen,11
853,stocktaker,stocktake,11
854,stomper,stomp,11
855,storer,store,11
856,straggler,straggle,11
857,straightener,straighten,11
858,strangler,strangle,11
859,stratigrapher,stratigraphy,11
860,strengthener,strengthen,11
861,strider,stride,11
862,striver,strive,11
863,stroker,stroke,11
864,struggler,struggle,11
865,strummer,strum,11
866,strutter,strut,11
867,stuffer,stuff,11
868,stumbler,stumble,11
869,stutterer,stutter,11
870,styler,style,11
871,submariner,submarine,11
872,submitter,submit,11
873,subverter,subvert,11
874,sulker,sulk,11
875,summarizer,summarize,11
876,summoner,summon,11
877,sunbather,sunbathe,11
878,superheater,superheat,11
879,supplanter,supplant,11
880,surfcaster,surfcasting,11
881,sustainer,sustain,11
882,swapper,swap,11
883,swearer,swear,11
884,swindler,swindle,11
885,systemizer,systemize,11
886,tacker,tack,11
887,tackler,tackle,11
888,tamer,tame,11
889,tapper,tap,11
890,taunter,taunt,11
891,taxer,tax,11
892,tedder,ted,11
893,telecaster,telecast,11
894,telegrapher,telegraph,11
895,telemarketer,telemarketing,11
896,teleworker,telework,11
897,temperer,temper,11
898,tenderer,tender,11
899,tenoner,tenon,11
900,tensioner,tension,11
901,thatcher,thatch,11
902,theatregoer,theatre-going,11
903,theorizer,theorize,11
904,thicknesser,thickness,11
905,threatener,threaten,11
906,thumper,thump,11
907,thunderer,thunder,11
908,tilter,tilt,11
909,tinkerer,tinker,11
910,tinter,tint,11
911,toiler,toil,11
912,tooter,toot,11
913,toper,tope,11
914,topographer,topography,11
915,topspinner,topspin,11
916,traducer,traduce,11
917,transactor,transact,11
918,transcriber,transcribe,11
919,transgressor,transgress,11
920,transposer,transpose,11
921,treader,tread,11
922,tricker,trick,11
923,troubleshooter,troubleshoot,11
924,truster,trust,11
925,tunneller,tunnel,11
926,tweaker,tweak,11
927,twiddler,twiddle,11
928,twiner,twine,11
929,twirler,twirl,11
930,typographer,typography,11
931,ulnar,ulna,11
932,ultrarunner,ultrarunning,11
933,underminer,undermine,11
934,understander,understand,11
935,unifier,unify,11
936,unloader,unload,11
937,unmasker,unmask,11
938,unpacker,unpack,11
939,unscrambler,unscramble,11
940,upgrader,upgrade,11
941,upholder,uphold,11
942,uplifter,uplift,11
943,upsetter,upset,11
944,utterer,utter,11
945,vaccinator,vaccinate,11
946,vanquisher,vanquish,11
947,varnisher,varnish,11
948,vasoconstrictor,vasoconstriction,11
949,vaulter,vault,11
950,verifier,verify,11
951,versifier,versify,11
952,vesicular,vesicle,11
953,vetoer,veto,11
954,vilifier,vilify,11
955,visher,vishing,11
956,vivisector,vivisect,11
957,volleyer,volley,11
958,volumizer,volumize,11
959,voyager,voyage,11
960,waffler,waffle,11
961,wailer,wail,11
962,waker,wake,11
963,wallower,wallow,11
964,wanter,want,11
965,warner,warn,11
966,warper,warp,11
967,wassailer,wassail,11
968,waterer,water,11
969,waterproofer,waterproof,11
970,waterskier,waterski,11
971,waverer,waver,11
972,waxer,wax,11
973,waylayer,waylay,11
974,weeder,weed,11
975,weigher,weigh,11
976,weightlifter,weightlifting,11
977,welcomer,welcome,11
978,westernizer,westernize,11
979,whetter,whet,11
980,whiner,whine,11
981,whinger,whinge,11
982,whipper,whip,11
983,whitener,whiten,11
984,widener,widen,11
985,wielder,wield,11
986,winker,wink,11
987,winkler,winkle,11
988,winnower,winnow,11
989,winterer,winter,11
990,wisecracker,wisecrack,11
991,wisher,wish,11
992,withstander,withstand,11
993,wonderer,wonder,11
994,woodcarver,woodcarving,11
995,woodturner,woodturning,11
996,woodworker,woodwork,11
997,wooer,woo,11
998,worrier,worry,11
999,yapper,yap,11
1000,yearner,yearn,11
1001,yelper,yelp,11
1002,yodeller,yodel,11
1003,abductor,abduct,12
1004,accipiter,no derivations in wordsapi,0
1005,accommodator,accommodate,12
1006,accruer,no results in wordsapi,0
1007,acer,no derivations in wordsapi,0
1008,achernar,no results in wordsapi,0
1009,acidifier,no results in wordsapi,0
1010,acker,no results in wordsapi,0
1011,acquiror,no results in wordsapi,0
1012,acquisitor,no results in wordsapi,0
1013,actor,act,12
1014,adder,add,12
1015,adductor,adduct,12
1016,adrenoceptor,no results in wordsapi,0
1017,adulter,no results in wordsapi,0
1018,adulterer,adultery,12
1019,adventurer,adventure,12
1020,aerocar,no results in wordsapi,0
1021,aerogenerator,no derivations in wordsapi,0
1022,afar,no derivations in wordsapi,0
1023,afer,no results in wordsapi,0
1024,affecter,no results in wordsapi,0
1025,afrikaner,no derivations in wordsapi,0
1026,afshar,no results in wordsapi,0
1027,after,no derivations in wordsapi,0
1028,agar,no derivations in wordsapi,0
1029,agger,no results in wordsapi,0
1030,aggravator,aggravate,12
1031,aggregometer,no results in wordsapi,0
1032,aggressor,aggress,12
1033,agonizer,no results in wordsapi,0
1034,aider,no results in wordsapi,0
1035,aimer,no results in wordsapi,0
1036,alabaster,no derivations in wordsapi,0
1037,alcazar,no derivations in wordsapi,0
1038,alder,no derivations in wordsapi,0
1039,allegorizer,allegorize,12
1040,alligator,no derivations in wordsapi,0
1041,allotmenteer,no results in wordsapi,0
1042,almoner,no derivations in wordsapi,0
1043,alnager,no results in wordsapi,0
1044,altar,no derivations in wordsapi,0
1045,altimeter,no derivations in wordsapi,0
1046,alvar,no results in wordsapi,0
1047,ambassador,no proper derivation,0
1048,amber,no derivations in wordsapi,0
1049,amelanchier,no derivations in wordsapi,0
1050,ammeter,no derivations in wordsapi,0
1051,anaphor,no derivations in wordsapi,0
1052,ancestor,no proper derivation,0
1053,anchor,no proper derivation,0
1054,anemometer,no proper derivation,0
1055,anger,no proper derivation,0
1056,another,no derivations in wordsapi,0
1057,answer,no proper derivation,0
1058,antechamber,no derivations in wordsapi,0
1059,anther,no proper derivation,0
1060,antimacassar,no derivations in wordsapi,0
1061,antler,no derivations in wordsapi,0
1062,anywhither,no results in wordsapi,0
1063,applicator,no derivations in wordsapi,0
1064,aquifer,no proper derivation,0
1065,arbiter,no proper derivation,0
1066,arbor,no proper derivation,0
1067,archer,no derivations in wordsapi,0
1068,armer,no results in wordsapi,0
1069,armiger,no derivations in wordsapi,0
1070,armourer,armour,12
1071,arriver,arrive,12
1072,arter,no results in wordsapi,0
1073,artificer,no derivations in wordsapi,0
1074,ashlar,no derivations in wordsapi,0
1075,aster,no derivations in wordsapi,0
1076,atelier,no derivations in wordsapi,0
1077,attainder,no derivations in wordsapi,0
1078,attar,no derivations in wordsapi,0
1079,auditor,audit,12
1080,auger,no derivations in wordsapi,0
1081,auster,no results in wordsapi,0
1082,author,no proper derivation,0
1083,autoanalyser,no results in wordsapi,0
1084,autocorrelator,no results in wordsapi,0
1085,autoinjector,no derivations in wordsapi,0
1086,autolocator,no results in wordsapi,0
1087,autoreceptor,no results in wordsapi,0
